
C7H14OH-2	CCCC[CH]C(C)O
C7H14OH-3	CCC[CH]C(O)CC
C5H10OH-1	CCC[CH]CO
C5H10OH-2	CC[CH]C(C)O
O2C5H10OH-2	CCC(O[O])C(C)O
O2C5H10OH-1	CCCC(CO)O[O]
O2C7H14OH-1	CCCCCC(CO)O[O]
O2C7H14OH-3	CCCC(O[O])C(O)CC
O2C7H14OH-2	CCCCC(O[O])C(C)O
EDHF	CCC1C=CCO1

H	[H]
H2	[H][H]
O	[O]
O2	[O][O]
OH	[OH]
H2O	O
N2	N#N
HO2	[O]O
H2O2	OO
AR	[Ar]
CO	[C-]#[O+]
CO2	O=C=O
CH3OH	CO
CH4	C
CH3	[CH3]
C	[C]
CH	[CH]
C2H6	CC
C2H5	[CH2]C
C2H4	C=C
HE	[He]
C3H8	CCC

